NAMES,FOLLOWERS,FOLLOWING,POSTS
knu_komal,311000,51,216
jamieoliver,7300000,2030,7219
ladyironchef,607000,56,13200
detoxininsta,118000,170,1380
_semu_,395000,24,279
davidrocaberti,161000,477,413
__anjalithakur__,385000,54,288
katoch276,104000,4,609
crystalsharma12,257000,3,268
mahi_sharma9443 ,274000,6,36
navya8528 ,326000,8,9
justa_pooja586 ,271000,225,116
smritibhardwaj5 ,251000,81,634
semu_dogra ,376000,42,418
reema_thakur97 ,308000,139,551
vibhu_shrma ,390000,92,323
sarcasm_only ,13800000,2,11400
daquan ,12600000,215,8379
thefatjewish ,10300000,666,4169
lmao ,9300000,38,1489
funnymemes ,7200000,14,162
ladbible ,8100000,13,23500
shitheadsteve ,4200000,65,5660
bonkers4memes ,312000,58,2491
vulgarsmemes ,12500,15,523
spongegoob ,45200,36,450
adultsociety ,3900000,998,1127
avrilpicsde ,24100,47,5919
hotravechicks ,20200,5719,426
__ghost_for_real__ ,16700,67,436
spronik_ ,100000,23,446
selenagomez ,153000000,61,1498
leomessi,125000000,228,477
beyonce ,129000000,0,1784
kendalljenner ,113000000,199,3107
dollyandoatmeal ,104000,416,1282
dad_beets ,67800,85,873
dennistheprescott ,497000,280,2961
bucketlistjourney ,100000,1397,1558
expertvagabond ,151000,673,877
theblondeabroad ,554000,538,2268
adventurouskate ,97900,450,2522
theplanetd ,215000,880,1909
gypsea_lust ,2100000,382,1392
alexachung ,3300000,689,5643
juliahengel ,1200000,378,5853
chiaraferragni ,16900000,976,12800
emmahill ,523000,367,2926
nicolettemason ,178000,2997,4908
benlowy ,229000,1437,2176
muradosmann ,4100000,737,543
casachicks ,266000,702,3295
criastano,175000000,437,2590
therock,149000000,289,4363
kyliejenner ,140000000,126,6002
shakira ,57700000,89,1410
taylorswift,119000000,0,328
nickiminaj ,104000000,1307,5957
emmawatson ,51300000,28,162
the.real.indian_stories,312000,421,7597
ktm_duke_love ,230000,4,2791
natgeotravel ,32200000,84,11000
sadcasm.co,898000,3,1604
bikewithgirl ,380000,95,935
isro_india,351000,8,372
fasbeam,97800,15,1269
vikaskhannagroup ,523000,200,1174
bigboytoyz_india ,932000,6,1983
deepak_chahar9 ,405000,1,154
natgeoyourshot ,2300000,252,4444
walkwithindia ,410000,983,3337
things2doinmumbai ,296000,12,2095
bullet_lovers_._,162000,810,1164
yourfoodlab,546000,1,473
thasvy ,498000,434,492
logicdetector ,592000,2,1295
rdchahar1 ,144000,25,149
thegoodquote ,16900000,34,3472
bren_garage ,102000,272,582
narendramodi ,24800000,0,328
bmwindia_official ,372000,15,2611
retrieverpuppies ,1100000,28,3745
sanjanasanghi96,255000,510,390
